"question","choice1","c1","choice2","c2","choice3","c3","choice4","c4","explanation"
"What are two responsibilities that you will have as a British citizen or permanent resident of the UK?","To look after the area in which you live and the environment","","To look after yourself and your family","","To stay in the UK forever","","To promote work in your local community","","If you wish to be a permanent resident or citizen of the UK, you should:look after yourself and your family, look after the area in which you live and the environment, respect and obey the law, respect the rights of others, including their right to their own opinions and treat others with fairness."
"Where is Big Ben located?","Buckingham Palace","","The Tower of London","","Trafalgar Square","","The Houses of the Parliament","","Big Ben is the nickname for the great bell of the clockat the Houses of Parliament in London."
"When were men and women given the right to vote at the age of 21?","1918","","1903","","1928","","1923","","In1928, women were given the right to vote at the age of 21, the same as men."
"Where is the UK geographically located?","South west of Europe","","North east of Europe","","North west of Europe","","South east of Europe","","The UK is located in thenorth west of Europe."
"Who is the patron Saint of Scotland?","St David","","St Patrick","","St George","","St Andrew","","The patron Saint of Scotland isSt Andrew."
"Which two houses fought in the Wars of the Roses?","The House of Chester","","The House of York","","The House of Lancaster","","The House of Newcastle","","The Wars of the Roses were fought between the supporters of two families:the House of Lancaster and the House of York."
"The Bill of Rights of 1689 confirmed the right to vote for all adult men.","True","","False","","","","","","False. The Bill of Rights, 1689, confirmed the rights of Parliament and the limits of the king’s power."
"What is the Cenotaph?","A flower","","A Christian church","","A war memorial","","A theatre","","The Cenotaph isa war memorialand it is the site of the annual Remembrance Day service attended by the King, politicians and foreign ambassadors."
"Who was the first female Prime Minister of the UK?","Mary Stuart","","Theresa May","","Margaret Thatcher","","Florence Nightingale","","Margaret Thatcherwas the first woman Prime Minister of the UK."
"Who chairs the debates at the House of Commons?","A bishop","","The Prime Minister","","The Speaker","","The archbishop of Canterbury","","Debates in the House of Commons are chaired bythe Speaker."
"Who was the captain of the English football team that won the World Cup in 1966?","Sir Roger Bannister","","Sir Jackie Stewart","","Sir Ian Botham","","Bobby Moore","","Bobby Moorecaptained the English football team that won the World Cup in 1966."
"When did the English defeat the Spanish Armada?","1466","","1066","","1254","","1588","","In1588the English defeated the Spanish Armada."
"Anyone can make a complaint about the police by writing to the Chief Constable of the police force involved.","True","","False","","","","","","This statement isTRUE."
"What is the minimum age required to serve on a jury?","16","","18","","21","","25","","Anyone who is on the electoral register and is aged18to 70 can be asked to serve on a jury."
"How is a jury selected?","From the NHS registration system","","Randomly from the electoral register","","Alphabetically from the telephone directory","","From a postcode selection","","As well as getting the right to vote,people on the electoral register are randomly selectedto serve on a jury. Anyone who is on the electoral register and is aged 18 to 70 can be asked to do this."
"What is a bank holiday?","A public holiday when banks are open all day","","A public holiday for people working in banks","","An additional day off that every worker in the UK is entitled to","","A public holiday when banks and many other businesses are closed for the day","","There are public holidays each year called bank holidays,when banks and many other businesses are closed for the day."
"What will you be given to vote before a general election takes place?","A ballot slip","","A poll card","","A voting slip","","A poll tax relief","","Before the election you will be sent apoll card."
"Which of the following statements is correct?","Solicitors’ charges are usually based on how much time they spend on a case","","Solicitors’ charges are usually based on the nature of a case and its importance","","","","","","Solicitors’ charges are usually based on how much time they spend of a case."
"By law, which TWO types of media have to give a balanced coverage of all political parties and equal time to rival viewpoints before an election?","Television","","Internet","","Newspapers","","Radio","","By law,radio and televisioncoverage of the political parties must be balanced and so equal time has to be given to rival viewpoints."
"Which of the following territories is a Crown dependency but is NOT part of the UK?","Northern Ireland","","Wales","","The Channel Islands","","Scotland","","The Channel Islandsis a British overseas territory linked to the UK, but it is not part of it."
"What did Sir Frank Whittle invent in the 1930s?","Radar","","Hovercraft","","Jet engine","","Ballpoint pen","","Thejet enginewas developed in Britain in the 1930s bySir Frank Whittle."
"Who wrote ‘The Daffodils’?","William Blake","","Robert Browning","","Lord Byron","","William Wordsworth","","The British poetWilliam Wordsworthwrote ‘The Daffodils’."
"Who was given the title of Lord Protector?","Charles I","","Charles II","","Winston Churchill","","Oliver Cromwell","","Oliver Cromwellwas given the title of Lord Protector and ruled until his death in 1658."
"What are the 40 days before Easter called?","Diwali","","Lent","","Hannukah","","Vaisakhi","","The 40 days before Easter are known asLent."
